epoch,step,train_loss_step,train_acc_step,train_auc,train_f1,train_specificity,train_kappa,train_precision,train_acc_epoch,train_sensitivity,train_acc,train_loss_epoch,test_specificity,test_kappa,test_acc,test_precision,test_loss,test_f1,test_auc,test_sensitivity
38,2651,,,0.9533828879840013,0.8861918937485688,0.871985157695399,0.7694805194805194,0.8751696065128901,0.8847402334213257,0.897495361781076,0.8847402334213257,0.2818000018596649,,,,,,,,
39,2659,0.31808096170425415,0.84375,,,,,,,,,,,,,,,,,
39,2669,0.2907445728778839,0.90625,,,,,,,,,,,,,,,,,
39,2679,0.31760120391845703,0.828125,,,,,,,,,,,,,,,,,
39,2689,0.19885887205600739,0.90625,,,,,,,,,,,,,,,,,
39,2699,0.24151265621185303,0.9375,,,,,,,,,,,,,,,,,
39,2709,0.30109187960624695,0.921875,,,,,,,,,,,,,,,,,
39,2719,0.18771690130233765,0.9166666865348816,,,,,,,,,,,,,,,,,
39,2719,,,0.9551028583131683,0.8900571428571429,0.8738404452649636,0.7769016697588126,0.8774222622803064,0.8884508609771729,0.9030612244897959,0.8884508609771729,0.27766990661621094,,,,,,,,
40,2729,0.2944152057170868,0.875,,,,,,,,,,,,,,,,,
